case:concept:name,concept:name,Resource,time:timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 9,Insert ticket,Value 12,2010/05/07 13:02:21.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
Case 9,Assign seriousness,Value 12,2010/05/07 13:02:34.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 4,Value 1,Value 1,Value 1
Case 9,Take in charge ticket,Value 6,2010/05/24 10:26:28.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,Resolve ticket,Value 12,2010/05/25 15:35:44.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 10,Assign seriousness,Value 2,2010/02/10 08:50:20.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,Take in charge ticket,Value 2,2010/03/19 08:47:06.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 10,Resolve ticket,Value 2,2010/03/19 08:47:13.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
Case 19,Assign seriousness,Value 2,2010/07/07 07:54:04.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,Take in charge ticket,Value 7,2010/07/09 10:10:52.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 19,Resolve ticket,Value 7,2010/07/09 10:11:18.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
