concept:name,time:timestamp,case:concept:name
A,2023-03-12T22:51:08.112+01:00,1
C,2023-03-12T22:51:09.132+01:00,1
B,2023-03-12T22:51:09.143+01:00,1
A,2023-03-12T22:56:14.060+01:00,2
D,2023-03-12T22:56:16.074+01:00,2
A,2023-03-12T22:57:00.872+01:00,3
C,2023-03-12T22:57:01.909+01:00,3
B,2023-03-12T22:57:01.951+01:00,3
A,2023-03-12T22:57:01.403+01:00,4
B,2023-03-12T22:57:02.443+01:00,4
C,2023-03-12T22:57:02.486+01:00,4
A,2023-03-12T22:57:01.822+01:00,5
D,2023-03-12T22:57:06.836+01:00,5
A,2023-03-12T22:57:02.788+01:00,6
C,2023-03-12T22:57:03.838+01:00,6
B,2023-03-12T22:57:03.861+01:00,6
A,2023-03-12T22:57:03.195+01:00,7
B,2023-03-12T22:57:04.247+01:00,7
C,2023-03-12T22:57:04.290+01:00,7
A,2023-03-12T22:57:03.222+01:00,8
D,2023-03-12T22:57:07.227+01:00,8
A,2023-03-12T22:57:04.557+01:00,9
D,2023-03-12T22:57:05.564+01:00,9
A,2023-03-12T22:57:04.792+01:00,10
D,2023-03-12T22:57:05.805+01:00,10
A,2023-03-12T22:57:05.139+01:00,11
C,2023-03-12T22:57:06.156+01:00,11
B,2023-03-12T22:57:06.210+01:00,11
A,2023-03-12T22:57:05.755+01:00,12
D,2023-03-12T22:57:06.759+01:00,12
A,2023-03-12T22:57:06.018+01:00,13
D,2023-03-12T22:57:11.051+01:00,13
A,2023-03-12T22:57:07.021+01:00,14
D,2023-03-12T22:57:09.030+01:00,14
A,2023-03-12T22:57:07.254+01:00,15
C,2023-03-12T22:57:08.291+01:00,15
B,2023-03-12T22:57:08.336+01:00,15
A,2023-03-12T22:57:07.721+01:00,16
B,2023-03-12T22:57:08.757+01:00,16
C,2023-03-12T22:57:08.827+01:00,16
A,2023-03-12T22:57:08.434+01:00,17
D,2023-03-12T22:57:11.446+01:00,17
A,2023-03-12T22:57:09.214+01:00,18
B,2023-03-12T22:57:10.238+01:00,18
C,2023-03-12T22:57:10.288+01:00,18
A,2023-03-12T22:57:09.808+01:00,19
D,2023-03-12T22:57:10.821+01:00,19
A,2023-03-12T22:57:10.528+01:00,20
C,2023-03-12T22:57:11.576+01:00,20
B,2023-03-12T22:57:11.624+01:00,20
A,2023-03-12T22:57:11.001+01:00,21
B,2023-03-12T22:57:12.048+01:00,21
C,2023-03-12T22:57:12.110+01:00,21
A,2023-03-12T22:57:11.016+01:00,22
D,2023-03-12T22:57:15.023+01:00,22
A,2023-03-12T22:57:11.783+01:00,23
D,2023-03-12T22:57:12.807+01:00,23
A,2023-03-12T22:57:12.438+01:00,24
B,2023-03-12T22:57:13.476+01:00,24
C,2023-03-12T22:57:13.514+01:00,24
A,2023-03-12T22:57:12.795+01:00,25
D,2023-03-12T22:57:13.828+01:00,25
A,2023-03-12T22:57:13.316+01:00,26
C,2023-03-12T22:57:14.352+01:00,26
B,2023-03-12T22:57:14.405+01:00,26
A,2023-03-12T22:57:14.238+01:00,27
D,2023-03-12T22:57:18.266+01:00,27
A,2023-03-12T22:57:14.702+01:00,28
D,2023-03-12T22:57:16.719+01:00,28
A,2023-03-12T22:57:14.776+01:00,29
C,2023-03-12T22:57:15.814+01:00,29
B,2023-03-12T22:57:15.835+01:00,29
A,2023-03-12T22:57:15.270+01:00,30
D,2023-03-12T22:57:20.283+01:00,30
A,2023-03-12T22:57:15.514+01:00,31
D,2023-03-12T22:57:17.534+01:00,31
A,2023-03-12T22:57:16.767+01:00,32
D,2023-03-12T22:57:18.778+01:00,32
A,2023-03-12T22:57:17.559+01:00,33
D,2023-03-12T22:57:18.572+01:00,33
A,2023-03-12T22:57:17.748+01:00,34
D,2023-03-12T22:57:19.768+01:00,34
