concept:name,time:timestamp,case:concept:name
A,2023-03-13 23:47:54.934000+01:00,1
C,2023-03-13 23:47:55.948000+01:00,1
B,2023-03-13 23:47:55.955000+01:00,1
X,2023-03-13 23:48:00.962000+01:00,1
Y,2023-03-13 23:48:05.967000+01:00,1
A,2023-03-13 23:48:13.341000+01:00,2
B,2023-03-13 23:48:14.361000+01:00,2
C,2023-03-13 23:48:14.353000+01:00,2
X,2023-03-13 23:48:19.367000+01:00,2
Y,2023-03-13 23:48:24.377000+01:00,2
A,2023-03-13 23:48:27.605000+01:00,3
D,2023-03-13 23:48:28.615000+01:00,3
E,2023-03-13 23:48:31.621000+01:00,3
A,2023-03-13 23:50:09.740000+01:00,4
D,2023-03-13 23:50:13.768000+01:00,4
E,2023-03-13 23:50:16.792000+01:00,4
A,2023-03-13 23:50:09.962000+01:00,5
D,2023-03-13 23:50:11.977000+01:00,5
E,2023-03-13 23:50:12.984000+01:00,5
A,2023-03-13 23:50:10.665000+01:00,6
D,2023-03-13 23:50:12.696000+01:00,6
E,2023-03-13 23:50:16.720000+01:00,6
A,2023-03-13 23:50:11.199000+01:00,7
C,2023-03-13 23:50:12.226000+01:00,7
B,2023-03-13 23:50:12.290000+01:00,7
X,2023-03-13 23:50:17.300000+01:00,7
Y,2023-03-13 23:50:20.345000+01:00,7
A,2023-03-13 23:50:11.432000+01:00,8
B,2023-03-13 23:50:12.469000+01:00,8
C,2023-03-13 23:50:12.517000+01:00,8
X,2023-03-13 23:50:17.523000+01:00,8
Y,2023-03-13 23:50:20.540000+01:00,8
A,2023-03-13 23:50:12.327000+01:00,9
D,2023-03-13 23:50:13.338000+01:00,9
E,2023-03-13 23:50:18.343000+01:00,9
A,2023-03-13 23:50:12.729000+01:00,10
D,2023-03-13 23:50:17.748000+01:00,10
E,2023-03-13 23:50:22.768000+01:00,10
A,2023-03-13 23:50:13.247000+01:00,11
C,2023-03-13 23:50:14.306000+01:00,11
B,2023-03-13 23:50:14.342000+01:00,11
X,2023-03-13 23:50:19.362000+01:00,11
Y,2023-03-13 23:50:20.373000+01:00,11
A,2023-03-13 23:50:13.865000+01:00,12
B,2023-03-13 23:50:14.898000+01:00,12
C,2023-03-13 23:50:14.980000+01:00,12
X,2023-03-13 23:50:19.992000+01:00,12
Y,2023-03-13 23:50:21.998000+01:00,12
A,2023-03-13 23:50:14.262000+01:00,13
C,2023-03-13 23:50:15.299000+01:00,13
B,2023-03-13 23:50:15.316000+01:00,13
X,2023-03-13 23:50:20.328000+01:00,13
Y,2023-03-13 23:50:21.344000+01:00,13
A,2023-03-13 23:50:14.940000+01:00,14
B,2023-03-13 23:50:15.977000+01:00,14
C,2023-03-13 23:50:16.002000+01:00,14
X,2023-03-13 23:50:21.011000+01:00,14
Y,2023-03-13 23:50:22.039000+01:00,14
A,2023-03-13 23:50:15.423000+01:00,15
D,2023-03-13 23:50:16.463000+01:00,15
E,2023-03-13 23:50:20.502000+01:00,15
A,2023-03-13 23:50:16.192000+01:00,16
D,2023-03-13 23:50:19.234000+01:00,16
E,2023-03-13 23:50:24.255000+01:00,16
A,2023-03-13 23:50:16.488000+01:00,17
D,2023-03-13 23:50:20.501000+01:00,17
E,2023-03-13 23:50:24.514000+01:00,17
A,2023-03-13 23:50:16.745000+01:00,18
C,2023-03-13 23:50:17.784000+01:00,18
B,2023-03-13 23:50:17.806000+01:00,18
X,2023-03-13 23:50:22.820000+01:00,18
Y,2023-03-13 23:50:23.833000+01:00,18
A,2023-03-13 23:50:17.494000+01:00,19
D,2023-03-13 23:50:18.507000+01:00,19
E,2023-03-13 23:50:21.514000+01:00,19
A,2023-03-13 23:50:18.278000+01:00,20
B,2023-03-13 23:50:19.319000+01:00,20
C,2023-03-13 23:50:19.369000+01:00,20
X,2023-03-13 23:50:24.386000+01:00,20
Y,2023-03-13 23:50:26.410000+01:00,20
A,2023-03-13 23:50:18.779000+01:00,21
D,2023-03-13 23:50:23.787000+01:00,21
E,2023-03-13 23:50:24.796000+01:00,21
A,2023-03-13 23:50:18.921000+01:00,22
C,2023-03-13 23:50:19.993000+01:00,22
B,2023-03-13 23:50:20.016000+01:00,22
X,2023-03-13 23:50:25.020000+01:00,22
Y,2023-03-13 23:50:28.030000+01:00,22
A,2023-03-13 23:50:19.784000+01:00,23
D,2023-03-13 23:50:22.801000+01:00,23
E,2023-03-13 23:50:25.814000+01:00,23
A,2023-03-13 23:50:20.383000+01:00,24
B,2023-03-13 23:50:21.431000+01:00,24
C,2023-03-13 23:50:21.518000+01:00,24
X,2023-03-13 23:50:26.539000+01:00,24
Y,2023-03-13 23:50:28.544000+01:00,24
A,2023-03-13 23:50:20.680000+01:00,25
D,2023-03-13 23:50:25.699000+01:00,25
E,2023-03-13 23:50:30.718000+01:00,25
A,2023-03-13 23:50:21.345000+01:00,26
C,2023-03-13 23:50:22.398000+01:00,26
B,2023-03-13 23:50:22.438000+01:00,26
X,2023-03-13 23:50:27.470000+01:00,26
Y,2023-03-13 23:50:31.487000+01:00,26
A,2023-03-13 23:50:22.056000+01:00,27
D,2023-03-13 23:50:23.081000+01:00,27
E,2023-03-13 23:50:27.091000+01:00,27
A,2023-03-13 23:50:22.211000+01:00,28
B,2023-03-13 23:50:23.245000+01:00,28
C,2023-03-13 23:50:23.278000+01:00,28
X,2023-03-13 23:50:28.287000+01:00,28
